year,mes,EXP,IMP,Total
2007,01,465922,485165,951087
2007,02,411583,432890,844473
2007,03,505472,528647,1034118
2007,04,430796,479017,909813
2007,05,483590,551920,1035510
2007,06,417033,468333,885366
2007,07,350041,435270,785311
2007,08,404399,487547,891946
2007,09,368320,445104,813423
2007,10,421619,528585,950204
2007,11,427832,524145,951976
2007,12,458292,588856,1047148
2008,01,403615,470881,874496
2008,02,393864,457629,851493
2008,03,402870,518814,921684
2008,04,486424,592770,1079194
2008,05,450414,542163,992577
2008,06,444731,574635,1019366
2008,07,469989,617295,1087284
2008,08,447526,595648,1043174
2008,09,438617,569280,1007897
2008,10,458570,602088,1060659
2008,11,417729,530563,948292
2008,12,500853,596327,1097181
2009,01,348570,437243,785813
2009,02,323323,400064,723387
2009,03,469198,591957,1061156
2009,04,430291,504734,935025
2009,05,431741,541694,973435
2009,06,477671,604597,1082269
2009,07,480150,593284,1073434
2009,08,485003,609163,1094166
2009,09,522023,641165,1163188
2009,10,568936,687978,1256914
2009,11,586888,739504,1326392
2009,12,580218,761484,1341701
2010,01,471296,603218,1074515
2010,02,499419,576369,1075788
2010,03,666542,755925,1422467
2010,04,534760,646089,1180849
2010,05,617742,723851,1341592
2010,06,546958,663949,1210907
2010,07,596248,719975,1316223
2010,08,652743,753591,1406334
2010,09,656350,759884,1416234
2010,10,650831,765280,1416111
2010,11,663374,840600,1503974
2010,12,690465,908127,1598592
2011,01,562586,679745,1242331
2011,02,649883,731669,1381551
2011,03,679260,780392,1459652
2011,04,663436,801767,1465203
2011,05,726898,872324,1599223
2011,06,651812,785778,1437591
2011,07,685629,835151,1520780
2011,08,722080,936045,1658125
2011,09,761965,996739,1758705
2011,10,775845,979564,1755409
2011,11,801766,1017089,1818855
2011,12,852629,1079628,1932257
2012,01,679847,818415,1498262
2012,02,664778,784051,1448829
2012,03,792395,931481,1723876
2012,04,652422,831867,1484289
2012,05,742012,855727,1597739
2012,06,748391,848445,1596837
2012,07,709670,862835,1572504
2012,08,795802,904677,1700478
2012,09,887074,988466,1875540
2012,10,935194,1072065,2007258
2012,11,960635,1115017,2075652
2012,12,749803,955512,1705315
2013,01,681504,850411,1531915
2013,02,639013,797818,1436831
2013,03,741090,938286,1679376
2013,04,754325,1002033,1756358
2013,05,721838,857903,1579741
2013,06,710540,878114,1588654
2013,07,841231,988333,1829564
2013,08,795178,944773,1739952
2013,09,802523,878626,1681149
2013,10,787489,865425,1652914
2013,11,836614,942770,1779384
2013,12,717774,842892,1560667
2014,01,615218,730253,1345471
2014,02,596489,706294,1302783
2014,03,595056,708975,1304030
2014,04,666986,773073,1440059
2014,05,755435,840837,1596272
2014,06,598303,691760,1290063
2014,07,720112,819811,1539923
2014,08,650348,743723,1394071
2014,09,783566,899515,1683081
2014,10,764385,872650,1637035
2014,11,812710,803430,1616140
2014,12,823164,949706,1772870
2015,01,642284,783321,1425605
2015,02,619194,705475,1324669
2015,03,719971,813713,1533684
2015,04,643744,725107,1368851
2015,05,644648,701503,1346151
2015,06,636479,700778,1337257
2015,07,742279,803070,1545349
2015,08,696824,748485,1445309
2015,09,692355,779519,1471875
2015,10,685531,753626,1439157
2015,11,771755,822527,1594282
2015,12,692578,760667,1453245
2016,01,513602,563135,1076737
2016,02,539657,628205,1167861
2016,03,636234,718155,1354389
2016,04,597994,655651,1253646
2016,05,598500,678964,1277464
2016,06,591965,665626,1257591
2016,07,702667,769996,1472664
2016,08,738767,788710,1527477
2016,09,748925,792830,1541756
2016,10,644832,647626,1292459
2016,11,823711,824016,1647727
2016,12,772658,816679,1589337
2017,01,616658,658443,1275101
2017,02,700998,724443,1425441
2017,03,887779,901983,1789762
2017,04,791314,775077,1566391
2017,05,990791,955704,1946495
2017,06,815571,822391,1637962
2017,07,907924,883423,1791347
2017,08,959533,972730,1932262
2017,09,956711,934396,1891107
2017,10,1162119,1150783,2312901
2017,11,1307622,1283010,2590633
2017,12,1010732,1015776,2026508
2018,01,876990,886096,1763086
2018,02,836742,817650,1654392
2018,03,1078221,1076383,2154603
2018,04,1000435,1007247,2007682
2018,05,1131498,1084179,2215676
2018,06,1046507,1072115,2118621
2018,07,985253,1063305,2048558
2018,08,1016858,1099539,2116398
2018,09,918562,988399,1906962
2018,10,987150,1044330,2031480
2018,11,1224886,1281620,2506506
2018,12,887806,970835,1858640
2019,01,753537,843371,1596909
2019,02,789795,862066,1651861
2019,03,887172,930392,1817564
2019,04,891174,910858,1802033
2019,05,935308,981920,1917228
2019,06,766833,812112,1578945
2019,07,919540,969279,1888818
2019,08,867742,934484,1802226
2019,09,841666,932936,1774602
2019,10,957202,1030880,1988081
2019,11,1,1,1
2019,12,1,1,1
